City_ID,City,Lat,Lng,Max Temp (C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Country,Date
0,puerto ayora,-0.7393,-90.3518,28.98,100,92,4.92,EC,1699552748
1,adamstown,-25.066,-130.1015,22.45,87,100,6.86,PN,1699552749
2,anadyr,64.75,177.4833,-5.72,79,75,7.0,RU,1699552750
3,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,73,20,9.39,RU,1699552750
4,tondano,1.3038,124.9112,20.05,93,71,0.62,ID,1699552751
5,iqaluit,63.7506,-68.5145,-0.15,69,75,4.12,CA,1699552752
6,aktau,43.65,51.2,15.32,54,77,11.05,KZ,1699552753
7,albany,42.6001,-73.9662,8.86,74,97,0.45,US,1699552604
8,ruscova,47.7883,24.2808,4.09,86,45,1.48,RO,1699552754
9,olonkinbyen,70.9221,-8.7187,-2.49,68,99,2.4,SJ,1699552712
10,newman,37.3138,-121.0208,15.69,47,5,0.83,US,1699552670
11,avarua,-21.2078,-159.775,24.03,83,20,3.09,CK,1699552519
12,hawaiian paradise park,19.5933,-154.9731,23.91,92,40,2.57,US,1699552757
13,luderitz,-26.6481,15.1594,19.05,67,0,2.37,NA,1699552758
14,lilongwe,-13.9669,33.7873,21.3,72,97,3.78,MW,1699552759
15,pangobilian,8.8011,117.8594,26.84,86,54,3.21,PH,1699552759
16,bria,6.5423,21.9863,24.69,82,99,2.15,CF,1699552760
17,south hedland,-20.4089,118.5983,25.96,89,0,3.09,AU,1699552761
18,badger,64.8,-147.5333,2.95,63,100,5.66,US,1699552762
19,grytviken,-54.2811,-36.5092,1.67,98,99,2.05,GS,1699552735
20,mar del plata,-38.0023,-57.5575,22.13,63,0,6.69,AR,1699552763
21,lautoka,-17.6167,177.4667,23.92,88,75,1.54,FJ,1699552765
22,angaur state,6.906,134.13,28.73,74,57,4.36,PW,1699552766
23,edinburgh of the seven seas,-37.0676,-12.3116,12.7,73,37,5.9,SH,1699552767
24,invercargill,-46.4,168.35,1.68,93,13,1.92,NZ,1699552768
25,veinticinco de mayo,-35.4323,-60.1727,26.66,30,23,2.68,AR,1699552769
26,yarmouth,41.7057,-70.2286,9.45,90,100,3.09,US,1699552770
27,waitangi,-43.9535,-176.5597,6.01,92,73,2.24,NZ,1699552771
28,delta del tigre,-34.7633,-56.3853,22.23,28,0,3.09,UY,1699552772
29,alofi,-19.0595,-169.9187,24.94,100,100,2.57,NU,1699552773
30,ilulissat,69.2167,-51.1,-8.6,95,97,3.37,GL,1699552773
31,tromso,69.6496,18.957,1.01,75,75,6.17,NO,1699552774
32,kone,-21.0595,164.8658,18.9,73,77,1.9,NC,1699552775
33,papatowai,-46.5619,169.4708,4.48,77,31,1.31,NZ,1699552776
34,ancud,-41.8697,-73.8203,13.59,57,48,2.75,CL,1699552777
35,west island,-12.1568,96.8225,25.99,89,71,4.63,CC,1699552778
36,kill devil hills,36.0307,-75.676,24.01,56,0,6.17,US,1699552481
37,muynoq,43.7683,59.0214,10.73,56,92,4.25,UZ,1699552779
38,puerto natales,-51.7236,-72.4875,14.25,35,20,12.86,CL,1699552780
39,qaqortoq,60.7167,-46.0333,-0.46,84,96,2.82,GL,1699552706
40,bethel,41.3712,-73.414,12.23,71,100,1.54,US,1699552690
41,yellowknife,62.456,-114.3525,-1.44,99,100,10.8,CA,1699552752
42,kurayoshi,35.4333,133.8167,17.76,87,100,3.41,JP,1699552783
43,whitehorse,60.7161,-135.0538,3.43,81,40,7.2,CA,1699552783
44,codrington,-38.2667,141.9667,9.27,90,59,2.5,AU,1699552784
45,borogontsy,62.6683,131.1683,-30.57,100,91,1.02,RU,1699552785
46,kavaratti,10.5669,72.642,28.43,75,100,3.24,IN,1699552786
47,riosucio,5.4216,-75.7032,23.34,64,58,0.32,CO,1699552786
48,port-aux-francais,-49.35,70.2167,5.21,95,100,11.44,TF,1699552699
49,tual,-5.6667,132.75,27.25,80,67,2.85,ID,1699552788
50,puerto rico,-26.796,-55.024,21.74,99,100,2.56,AR,1699552788
51,mount gambier,-37.8333,140.7667,9.1,94,81,1.9,AU,1699552735
52,uturoa,-16.7333,-151.4333,26.29,82,16,6.39,PF,1699552783
53,noumea,-22.2763,166.4572,15.99,66,75,4.48,NC,1699552205
54,wailua homesteads,22.0669,-159.378,25.42,81,42,2.68,US,1699552791
55,san fernando de apure,7.8878,-67.4724,33.71,51,36,3.03,VE,1699552545
56,enewetak,11.3474,162.3373,28.14,77,99,8.84,MH,1699552792
57,fale old settlement,-9.3852,-171.2468,28.5,75,100,3.53,TK,1699552701
58,conway,35.0887,-92.4421,14.86,92,100,3.6,US,1699552793
59,popasna,48.6333,38.378,6.57,79,87,6.11,UA,1699552795
60,bredasdorp,-34.5322,20.0403,16.04,71,0,3.55,ZA,1699552796
61,college,64.8569,-147.8028,2.99,62,100,5.66,US,1699552677
62,forster,-32.1667,152.5167,17.43,97,100,5.93,AU,1699552797
63,lorengau,-2.0226,147.2712,26.8,85,100,5.55,PG,1699552798
64,lamu,-2.2717,40.902,25.12,87,87,3.5,KE,1699552798
65,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699552708
66,dubna,56.7333,37.1667,4.57,94,100,1.69,RU,1699552800
67,kuanda,56.3161,116.0806,-16.55,91,98,0.6,RU,1699552802
68,manghit,42.1156,60.0597,8.99,45,100,4.08,UZ,1699552818
69,ust-nera,64.5667,143.2,-28.23,98,91,1.72,RU,1699552820
70,dongola,19.1667,30.4833,30.01,30,0,3.93,SD,1699552821
71,blackmans bay,-43.0167,147.3167,13.62,95,5,0.45,AU,1699552822
72,nueva concepcion,14.2,-91.3,30.94,67,43,1.8,GT,1699552824
73,kununurra,-15.7667,128.7333,27.99,65,75,4.12,AU,1699552826
74,tiksi,71.6872,128.8694,-18.43,93,99,4.69,RU,1699552826
75,polyarnyy,69.1989,33.4478,-5.83,92,86,4.98,RU,1699552829
76,ca mau,9.1769,105.15,24.69,94,81,1.49,VN,1699552831
77,novaya igirma,57.1334,103.9112,-15.79,97,54,0.57,RU,1699552833
78,talnakh,69.4865,88.3972,-5.44,91,100,7.35,RU,1699552835
79,nadi,-17.8,177.4167,24.0,88,75,1.54,FJ,1699552836
80,st. john's,47.5649,-52.7093,6.66,98,100,7.72,CA,1699552752
81,guarapari,-20.6667,-40.4975,27.72,52,1,4.45,BR,1699552839
82,vorgashor,67.5833,63.95,-0.76,95,100,6.02,RU,1699552770
83,vadso,70.0744,29.7487,-2.91,93,75,7.72,NO,1699552843
